,municipality,postcode,Coordinates,latitude,longitude
64,Horcajo de la Sierra,28755,"28755 Horcajo de la Sierra, Madrid, Spain",41.0672334,-3.5854235
65,Horcajuelo de la Sierra,28191,"28191 Horcajuelo de la Sierra, Madrid, Spain",41.0604083,-3.5459787
66,Hoyo de Manzanares,28240,"28240 Hoyo de Manzanares, Madrid, Spain",40.6226405,-3.9082735
67,Humanes de Madrid,28970,"Humanes de Madrid, Madrid, Spain",40.2596169,-3.8209585
68,Leganes,28910,"Leganés, Madrid, Spain",40.3319506,-3.7686545
69,Loeches,28890,"28890 Loeches, Madrid, Spain",40.38348209999999,-3.4170301
70,Lozoya,28742,"28742 Lozoya, Madrid, Spain",40.9553281,-3.7969976
71,Lozoyuela-Navas-Sieteiglesias,28752,"28752 Lozoyuela-Navas-Sieteiglesias, Madrid, Spain",40.9270441,-3.6183504
72,Madarcos,28755,"28755 Madarcos, Madrid, Spain",41.0476701,-3.5820602
73,Majadahonda,28220,"Majadahonda, Madrid, Spain",40.4737586,-3.8683123
74,Manzanares el Real,28410,"28410 Manzanares el Real, Madrid, Spain",40.7262858,-3.8646893
75,Meco,28880,"1500 Industrial Rd, Greeneville, TN 37745, USA",36.180798,-82.804148
76,Mejorada del Campo,28840,"Mejorada del Campo, Madrid, Spain",40.396654,-3.4877129
77,Miraflores de la Sierra,28792,"28792 Miraflores de la Sierra, Madrid, Spain",40.8114262,-3.7657848
78,Molar (El),28710,"28710 El Molar, Madrid, Spain",40.7351603,-3.5825347
79,Montejo de la Sierra,28190,"28190 Montejo de la Sierra, Madrid, Spain",41.0595052,-3.5297283
80,Moraleja de Enmedio,28109,"28950 Moraleja de Enmedio, Madrid, Spain",40.2596189,-3.8606776
81,Moralzarzal,28411,"Moralzarzal, Madrid, Spain",40.6763507,-3.9704867
82,Morata de Tajuna,28530,"28530 Morata de Tajuña, Madrid, Spain",40.2299024,-3.4372149
83,Mostoles,28931,"Móstoles, Madrid, Spain",40.3232129,-3.8676291
84,Navacerrada,28491,"28491 Navacerrada, Madrid, Spain",40.72856609999999,-4.0146372
85,Navalafuente,28729,"28729 Navalafuente, Madrid, Spain",40.8233408,-3.6748439
86,Navalagamella,28212,"28212 Navalagamella, Madrid, Spain",40.4685147,-4.1222221
87,Navalcarnero,28600,"Municipality of Navalcarnero, 28600, Madrid, Spain",40.2855681,-4.016639
88,Navarredonda y San Mames,28739,"Navarredonda y San Mamés, 28739, Madrid, Spain",40.9906493,-3.7260317
89,Navas del Rey,28695,"28695 Navas del Rey, Madrid, Spain",40.3877545,-4.249999
90,Nuevo Baztan,28514,"28514 Nuevo Baztán, Madrid, Spain",40.3664953,-3.2435923
91,Olmeda de las Fuentes,28515,"28515 Olmeda de las Fuentes, Madrid, Spain",40.3693459,-3.2212883
92,Orusco de Tajuna,28570,"28570 Orusco de Tajuña, Madrid, Spain",40.2861,-3.2114207
93,Paracuellos de Jarama,28860,"Paracuellos de Jarama, Madrid, Spain",40.5056034,-3.5302108
94,Parla,28980,"230 Hanover St, Boston, MA 02113, USA",42.3632061,-71.0552103
95,Patones,28189,"28189 Patones, Madrid, Spain",40.8549585,-3.4849081
96,Pedrezuela,28723,"28723 Pedrezuela, Madrid, Spain",40.744654,-3.6027866
