,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address
41,SPOONBREAD TOO,MANHATTAN,WEST  110 STREET,10025,Soul Food,P,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
42,KOSHER BAGEL HOLE,BROOKLYN,AVENUE J,11230,Jewish/Kosher,A,"Chalabre, Avenue Auguste Cathala, Ségovent, Chalabre, Limoux, Aude, Occitanie, France métropolitaine, 11230, France"
43,PLAZA BAGELS & DELI,STATEN ISLAND,NEW DORP PLAZA,10306,Bagels/Pretzels,A,"Richmond County, NYC, New York, USA"
44,HAPPY GARDEN,BRONX,EAST KINGSBRIDGE ROAD,10458,Chinese,A,"Bronx County, NYC, New York, USA"
45,B & M HOT BAGEL & GROCERY,STATEN ISLAND,GIFFORDS LANE,10308,Delicatessen,A,"Richmond County, NYC, New York, USA"
46,PHILADELPHIA GRILLE EXPRESS,BROOKLYN,4 AVENUE,11209,Pizza/Italian,A,"BK, Kings County, NYC, New York, USA"
47,PETER LUGER STEAKHOUSE,BROOKLYN,BROADWAY,11211,Steak,A,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија"
48,METROPOLITAN CLUB,MANHATTAN,EAST   60 STREET,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
49,21 CLUB,MANHATTAN,WEST   52 STREET,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
50,MANHEM CLUB,BRONX,CLARENCE AVE,10465,American,A,"Bronx County, NYC, New York, USA"
51,ISLE OF CAPRI RESTURANT,MANHATTAN,3 AVENUE,10065,Italian,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
52,OLD TOWN BAR & RESTAURANT,MANHATTAN,EAST   18 STREET,10003,American,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
53,POLISH NATIONAL HOME,BROOKLYN,DRIGGS AVENUE,11222,Polish,A,"BK, Kings County, NYC, New York, USA"
54,SEVILLA RESTAURANT,MANHATTAN,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,"臺東縣, 臺灣省, TW"
55,SEVILLA RESTAURANT,MANHATTAN,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B,"臺東縣, 臺灣省, TW"
56,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,CENTRE STREET,10013,American,A,"屏東縣, 臺灣省, TW"
57,GOTTSCHEER HALL,QUEENS,FAIRVIEW AVENUE,11385,German,A,"Queens, Queens County, NYC, New York, USA"
58,GOTTSCHEER HALL,QUEENS,FAIRVIEW AVENUE,11385,German,P,"Queens, Queens County, NYC, New York, USA"
59,NYAC MAIN DINING ROOM,MANHATTAN,CENTRAL PARK SOUTH,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
60,7B BAR,MANHATTAN,AVENUE B,10009,American,A,"雲林縣, 臺灣省, TW"
61,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,WEST   57 STREET,10019,American,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
62,DONOHUE'S STEAK HOUSE,MANHATTAN,LEXINGTON AVENUE,10065,Steak,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
63,TOUT VA BIEN,MANHATTAN,WEST   51 STREET,10019,French,B,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
64,TOUT VA BIEN,MANHATTAN,WEST   51 STREET,10019,French,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
65,JUNIOR'S,BROOKLYN,FLATBUSH AVENUE EXTENSION,11201,American,A,"BK, Kings County, NYC, New York, USA"
66,MARCHIS RESTAURANT,MANHATTAN,EAST   31 STREET,10016,Italian,A,"澎湖縣, 臺灣省, TW"
67,MARCHIS RESTAURANT,MANHATTAN,EAST   31 STREET,10016,Italian,P,"澎湖縣, 臺灣省, TW"
68,TOWNE CAFE,BROOKLYN,EAST   15 STREET,11235,American,A,"BK, Kings County, NYC, New York, USA"
69,TOWNE CAFE,BROOKLYN,EAST   15 STREET,11235,American,B,"BK, Kings County, NYC, New York, USA"
70,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
71,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,P,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
72,OLD HOMESTEAD,MANHATTAN,9 AVENUE,10011,American,B,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
73,NEW PARK PIZZERIA & RESTAURANT,QUEENS,CROSSBAY BOULEVARD,11414,Pizza/Italian,A,"Queens, Queens County, NYC, New York, USA"
74,DOUGLASTON CLUB,QUEENS,WEST DRIVE,11363,American,A,"Queens County, NYC, New York, USA"
75,RIZZO'S FINE PIZZA,QUEENS,STEINWAY STREET,11103,Pizza,A,"Queens County, NYC, New York, USA"
76,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,HAVILAND AVENUE,10462,American,A,"Bronx County, NYC, New York, USA"
77,WHITE HORSE TAVERN,MANHATTAN,HUDSON STREET,10014,American,A,"臺東縣, 臺灣省, TW"
78,CRYSTAL ROOM,STATEN ISLAND,OLYMPIA BOULEVARD,10305,Italian,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA"
79,LABETTI'S POST # 2159,STATEN ISLAND,HYLAN BOULEVARD,10305,American,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA"
80,SHELL LANES,BROOKLYN,BOUCK COURT,11223,American,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
81,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,EAST    7 STREET,10003,Irish,A,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
82,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,EAST    7 STREET,10003,Irish,P,"East Village, Manhattan Community Board 3, Manhattan, New York County, NYC, New York, USA"
83,FORLINIS RESTAURANT,MANHATTAN,BAXTER STREET,10013,Italian,Z,"屏東縣, 臺灣省, TW"
84,FORLINIS RESTAURANT,MANHATTAN,BAXTER STREET,10013,Italian,A,"屏東縣, 臺灣省, TW"
85,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,HYLAN BOULEVARD,10309,American,A,"Staten Island, Richmond County, NYC, New York, USA"
86,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,HYLAN BOULEVARD,10309,American,B,"Staten Island, Richmond County, NYC, New York, USA"
87,CORNER BISTRO,MANHATTAN,WEST    4 STREET,10014,American,A,"臺東縣, 臺灣省, TW"
88,CORNER BISTRO,MANHATTAN,WEST    4 STREET,10014,American,C,"臺東縣, 臺灣省, TW"
89,NOSTRAND DONUT SHOP,BROOKLYN,NOSTRAND AVENUE,11226,Donuts,A,"Naujosios Vilnios seniūnija, Vilnius, Vilniaus miesto savivaldybė, Vilniaus apskritis, Lietuva"
90,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,2 AVENUE,10028,Irish,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
91,LA GRENOUILLE,MANHATTAN,EAST   52 STREET,10022,French,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
92,COMO PIZZA,MANHATTAN,BROADWAY,10032,Pizza,B,"Washington Heights, Manhattan Community Board 12, Manhattan, New York County, NYC, New York, USA"
93,COMO PIZZA,MANHATTAN,BROADWAY,10032,Pizza,A,"Washington Heights, Manhattan Community Board 12, Manhattan, New York County, NYC, New York, USA"
94,KEATS RESTAURANT,MANHATTAN,2 AVENUE,10017,American,A,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
95,KEATS RESTAURANT,MANHATTAN,2 AVENUE,10017,American,B,"基隆市, 中正區, 基隆市, 臺灣省, 20201, TW"
96,PANCHITO'S,MANHATTAN,MACDOUGAL STREET,10012,Mexican,B,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
97,PANCHITO'S,MANHATTAN,MACDOUGAL STREET,10012,Mexican,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
98,NEW CORNER,BROOKLYN,8 AVENUE,11228,Italian,A,"BK, Kings County, NYC, New York, USA"
99,THE PRINCETON CLUB,MANHATTAN,WEST   43 STREET,10036,American,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
100,ARTURO'S,MANHATTAN,WEST HOUSTON STREET,10012,Italian,A,"SoHo, Manhattan Community Board 2, Manhattan, New York County, NYC, New York, 10012, USA"
101,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
102,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,B,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
103,SPAIN RESTAURANT & BAR,MANHATTAN,WEST   13 STREET,10011,Spanish,C,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
104,YANKEE TAVERN,BRONX,EAST  161 STREET,10451,American,B,"The Bronx, Bronx County, NYC, New York, USA"
105,YANKEE TAVERN,BRONX,EAST  161 STREET,10451,American,A,"The Bronx, Bronx County, NYC, New York, USA"
106,DONUT PUB,MANHATTAN,WEST   14 STREET,10011,Donuts,A,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
107,DONUT PUB,MANHATTAN,WEST   14 STREET,10011,Donuts,C,"Hudson Yards, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
108,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,A,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија"
109,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,B,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија"
110,REBEN LUNCHEONETTE,BROOKLYN,HAVEMEYER STREET,11211,American,P,"Борча, Беле Бартока, Нова Борча, Борча, Градска општина Палилула, Град Београд, Централна Србија, 11211, Србија"
111,V & T RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,10025,Italian,Z,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
112,V & T RESTAURANT,MANHATTAN,AMSTERDAM AVENUE,10025,Italian,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA"
113,JAHN'S RESTAURANT,QUEENS,37 AVENUE,11372,American,A,"Queens County, NYC, New York, USA"
114,J&V FAMOUS PIZZA,BROOKLYN,18 AVENUE,11204,Pizza,A,"BK, Kings County, NYC, New York, USA"
115,JOE ALLEN RESTAURANT,MANHATTAN,WEST   46 STREET,10036,American,A,"Hell's Kitchen, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
116,GARGIULO'S RESTAURANT,BROOKLYN,WEST   15 STREET,11224,Italian,A,"BK, Kings County, NYC, New York, USA"
117,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,A,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
118,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,P,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
119,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian,C,"Theater District, Manhattan Community Board 5, Manhattan, New York County, NYC, New York, USA"
120,PARKSIDE RESTAURANT,QUEENS,CORONA AVENUE,11368,Italian,A,"Queens, Queens County, NYC, New York, USA"
121,LAVELLE'S ADMIRAL'S CLUB,QUEENS,BROADWAY,11103,American,A,"Queens County, NYC, New York, USA"
122,NEARY'S PUB,MANHATTAN,EAST   57 STREET,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
123,NEW YORK PIZZA SUPREMA,MANHATTAN,8 AVENUE,10001,Pizza,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
124,MEE SUM CAFE,MANHATTAN,PELL STREET,10013,CafÃ©/Coffee/Tea,A,"屏東縣, 臺灣省, TW"
125,MEE SUM CAFE,MANHATTAN,PELL STREET,10013,CafÃ©/Coffee/Tea,P,"屏東縣, 臺灣省, TW"
126,NANCY'S RESTAURANT,QUEENS,JAMAICA AVENUE,11001,American,A,
127,HOP KEE RESTAURANT,MANHATTAN,MOTT STREET,10013,Chinese,A,"屏東縣, 臺灣省, TW"
128,NANCY WHISKEY PUB,MANHATTAN,LISPENARD ST,10013,American,A,"屏東縣, 臺灣省, TW"
129,BLARNEY BAR,QUEENS,JAMAICA AVENUE,11435,American,A,"Queens County, NYC, New York, USA"
130,MARGHERITA PIZZA,QUEENS,JAMAICA AVENUE,11432,Pizza,A,"Queens, Queens County, NYC, New York, USA"
131,HEALY'S PUB,QUEENS,ROCKAWAY BEACH BOULEVARD,11694,American,A,"Queens County, NYC, New York, USA"
132,FIFTH AVENUE BINGO,BROOKLYN,5 AVENUE,11215,American,A,"BK, Kings County, NYC, New York, USA"
133,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,PORT RICHMOND AVENUE,10302,Pizza/Italian,A,"Staten Island, Richmond County, NYC, New York, USA"
134,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,PORT RICHMOND AVENUE,10302,Pizza/Italian,P,"Staten Island, Richmond County, NYC, New York, USA"
135,MICHAEL'S RESTAURANT,BROOKLYN,AVENUE R,11229,Italian,A,"BK, Kings County, NYC, New York, USA"
136,LENIHAN'S SALOON,QUEENS,ATLANTIC AVENUE,11418,American,A,"Queens County, NYC, New York, USA"
137,KILLARNEY ROSE,MANHATTAN,BEAVER STREET,10005,Irish,A,"苗栗縣, 臺灣省, Taiwan"
138,KILLARNEY ROSE,MANHATTAN,BEAVER STREET,10005,Irish,B,"苗栗縣, 臺灣省, Taiwan"
139,DON PEPPE,QUEENS,LEFFERTS BOULEVARD,11420,Italian,A,"Queens County, NYC, New York, USA"
140,DON PEPPE,QUEENS,LEFFERTS BOULEVARD,11420,Italian,C,"Queens County, NYC, New York, USA"
141,BLARNEY CASTLE,QUEENS,ROCKAWAY POINT BOULEVARD,11697,American,A,"القاهرة, محافظة القاهرة, مصر"
142,THREE STAR RESTAURANT,BROOKLYN,AVENUE U,11229,American,A,"BK, Kings County, NYC, New York, USA"
143,THREE STAR RESTAURANT,BROOKLYN,AVENUE U,11229,American,P,"BK, Kings County, NYC, New York, USA"
144,DANGERFIELD'S NIGHT CLUB,MANHATTAN,1 AVENUE,10065,American,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA"
145,DESMOND'S TAVERN,MANHATTAN,PARK AVENUE SOUTH,10016,American,Z,"澎湖縣, 臺灣省, TW"
146,DESMOND'S TAVERN,MANHATTAN,PARK AVENUE SOUTH,10016,American,A,"澎湖縣, 臺灣省, TW"
147,DESMOND'S TAVERN,MANHATTAN,PARK AVENUE SOUTH,10016,American,B,"澎湖縣, 臺灣省, TW"
148,DESMOND'S TAVERN,MANHATTAN,PARK AVENUE SOUTH,10016,American,P,"澎湖縣, 臺灣省, TW"
149,NAOMI KOSHER PIZZA,QUEENS,MAIN STREET,11367,Jewish/Kosher,A,"Queens County, NYC, New York, USA"
150,ROLL-N-ROASTER,BROOKLYN,EMMONS AVENUE,11235,American,A,"BK, Kings County, NYC, New York, USA"
151,TIO PEPE,MANHATTAN,WEST    4 STREET,10014,Seafood,A,"臺東縣, 臺灣省, TW"
152,BRENNAN & CARR,BROOKLYN,NOSTRAND AVENUE,11229,American,A,"BK, Kings County, NYC, New York, USA"
153,THE PUNCH BOWL,BRONX,BROADWAY,10463,American,A,"The Bronx, Bronx County, NYC, New York, USA"
154,THE PUNCH BOWL,BRONX,BROADWAY,10463,American,B,"The Bronx, Bronx County, NYC, New York, USA"
155,JARDIN DE CHINA REST,QUEENS,JUNCTION BOULEVARD,11368,Chinese,B,"Queens, Queens County, NYC, New York, USA"
156,JARDIN DE CHINA REST,QUEENS,JUNCTION BOULEVARD,11368,Chinese,A,"Queens, Queens County, NYC, New York, USA"
157,IRISH COTTAGE,QUEENS,72 AVENUE,11375,Irish,A,"Queens County, NYC, New York, USA"
158,IRISH COTTAGE,QUEENS,72 AVENUE,11375,Irish,B,"Queens County, NYC, New York, USA"
159,BLARNEY STONE,MANHATTAN,TRINITY PLACE,10006,Irish,A,"Financial District, Manhattan Community Board 1, Manhattan, New York County, NYC, New York, USA"
160,SHIMONS KOSHER PIZZA,QUEENS,MAIN STREET,11367,Jewish/Kosher,Z,"Queens County, NYC, New York, USA"
161,SHIMONS KOSHER PIZZA,QUEENS,MAIN STREET,11367,Jewish/Kosher,A,"Queens County, NYC, New York, USA"
162,SHIMONS KOSHER PIZZA,QUEENS,MAIN STREET,11367,Jewish/Kosher,C,"Queens County, NYC, New York, USA"
163,FASCATI'S PIZZERIA,BROOKLYN,HENRY STREET,11201,Pizza/Italian,A,"BK, Kings County, NYC, New York, USA"
164,BABY BO'S CANTINA,MANHATTAN,2 AVENUE,10016,Tex-Mex,A,"澎湖縣, 臺灣省, TW"
165,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,FOREST AVENUE,10310,American,A,"Staten Island, Richmond County, NYC, New York, USA"
166,SHUN LEE PALACE RESTAURANT,MANHATTAN,EAST   55 STREET,10022,Chinese,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA"
167,TAMAQUA,BROOKLYN,EBONY COURT,11229,"Bottled beverages, including water, sodas, juices, etc.",A,"BK, Kings County, NYC, New York, USA"
168,CARA MIA,QUEENS,HILLSIDE AVENUE,11427,Italian,A,"Queens County, NYC, New York, USA"
169,IHOP,BRONX,BOSTON ROAD,10475,Pancakes/Waffles,A,"The Bronx, Bronx County, NYC, New York, USA"
170,MALONEY'S BAR,QUEENS,SUTPHIN BOULEVARD,11435,American,A,"Queens County, NYC, New York, USA"
171,LA FUSTA RESTAURANT,QUEENS,BAXTER AVENUE,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,"Queens County, NYC, New York, USA"
172,LA FUSTA RESTAURANT,QUEENS,BAXTER AVENUE,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B,"Queens County, NYC, New York, USA"
173,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,FLAGG PLACE,10304,American,A,"Richmond County, NYC, New York, USA"
174,LITTLE BROWN JUG,QUEENS,JAMAICA AVENUE,11418,American,C,"Queens County, NYC, New York, USA"
175,LITTLE BROWN JUG,QUEENS,JAMAICA AVENUE,11418,American,A,"Queens County, NYC, New York, USA"
176,LULU'S COFFEE SHOP,BRONX,CASTLE HILL AVENUE,10462,CafÃ©/Coffee/Tea,A,"Bronx County, NYC, New York, USA"
177,LULU'S COFFEE SHOP,BRONX,CASTLE HILL AVENUE,10462,CafÃ©/Coffee/Tea,C,"Bronx County, NYC, New York, USA"
178,LULU'S COFFEE SHOP,BRONX,CASTLE HILL AVENUE,10462,CafÃ©/Coffee/Tea,B,"Bronx County, NYC, New York, USA"
179,MITCHELL'S RESTAURANT,BROOKLYN,VANDERBILT AVENUE,11238,Soul Food,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
180,MITCHELL'S RESTAURANT,BROOKLYN,VANDERBILT AVENUE,11238,Soul Food,P,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
181,MITCHELL'S RESTAURANT,BROOKLYN,VANDERBILT AVENUE,11238,Soul Food,B,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
182,FINNEGAN'S WAKE PUB,MANHATTAN,FIRST AVENUE,10021,American,A,"Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, 10021, USA"
183,DA VINCI PIZZA,BROOKLYN,18 AVENUE,11204,Pizza/Italian,Z,"BK, Kings County, NYC, New York, USA"
184,DA VINCI PIZZA,BROOKLYN,18 AVENUE,11204,Pizza/Italian,A,"BK, Kings County, NYC, New York, USA"
185,DA VINCI PIZZA,BROOKLYN,18 AVENUE,11204,Pizza/Italian,B,"BK, Kings County, NYC, New York, USA"
186,MEXICO LINDO RESTAURANT,MANHATTAN,2 AVENUE,10010,Mexican,A,"嘉義縣, 臺灣省, TW"
187,MARINA DELRAY,BRONX,SCHURZ AVE,10465,American,A,"Bronx County, NYC, New York, USA"
188,NEW FLORIDIAN DINER,BROOKLYN,FLATBUSH AVENUE,11234,American,A,"Kungsholmen, Sthlm, Stockholm, Sveriges Landskap, Stockholms län, Svealand, Sverige"
189,TWINS PUB,MANHATTAN,9 AVENUE,10001,Irish,A,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, NYC, New York, USA"
