,Restaurant,Borough,Neighborhood,Postcode,CUISINE DESCRIPTION,GRADE,Address,Coordinates,latitude,longitude
29,LEXLER DELI,MANHATTAN,LEXINGTON AVENUE,10174,Sandwiches/Salads/Mixed Buffet,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA","211 E 43rd St #1404, New York, NY 10017, USA",40.7512663,-73.9731576
30,BAGELS N BUNS,STATEN ISLAND,VICTORY BOULEVARD,10314,Delicatessen,A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA","Todt Hill, Staten Island, NY, USA",40.5975007,-74.10189749999999
31,HOT BAGELS,QUEENS,METROPOLITAN AVENUE,11379,Bagels/Pretzels,A,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
32,HOT BAGELS,QUEENS,METROPOLITAN AVENUE,11379,Bagels/Pretzels,B,"Queens County, NYC, New York, USA","Queens, NY, USA",40.7282239,-73.7948516
33,LORENZO & MARIA'S KITCHEN,MANHATTAN,THIRD AVENUE,10028,Continental,A,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
34,LORENZO & MARIA'S KITCHEN,MANHATTAN,THIRD AVENUE,10028,Continental,B,"Yorkville, Manhattan Community Board 8, Manhattan, New York County, NYC, New York, USA","505 Park Ave #620, New York, NY 10022, USA",40.7629517,-73.96929639999999
35,BERKELEY,MANHATTAN,MADISON AVENUE,10022,American,A,"Midtown East, Manhattan Community Board 6, Manhattan, New York County, NYC, New York, USA","211 E 43rd St #1404, New York, NY 10017, USA",40.7512663,-73.9731576
36,CARVEL ICE CREAM,STATEN ISLAND,HYLAN BOULEVARD,10305,"Ice Cream, Gelato, Yogurt, Ices",A,"Todt Hill, Staten Island, Richmond County, NYC, New York, 10304, USA","Todt Hill, Staten Island, NY, USA",40.5975007,-74.10189749999999
37,NEW GOLDEN BILLION,BROOKLYN,RUTLAND ROAD,11212,Chinese,A,"BK, Kings County, NYC, New York, USA","20 Skillman Ave, Brooklyn, NY 11211, USA",40.715211,-73.951022
38,DOMINO'S,MANHATTAN,WEST   72 STREET,10023,Pizza,A,"Upper West Side, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
39,SPOONBREAD TOO,MANHATTAN,WEST  110 STREET,10025,Soul Food,A,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
40,SPOONBREAD TOO,MANHATTAN,WEST  110 STREET,10025,Soul Food,B,"Manhattan Valley, Manhattan Community Board 7, Manhattan, New York County, NYC, New York, USA","250 W 87th St # 2, New York, NY 10024, USA",40.7890699,-73.97654949999999
